route_name,route_index,stop_id,stop_name,original_latitude,original_longitude,snapped_latitude,snapped_longitude,formatted_address,place_id,search_query
Ennore Bus Stand,0,stop1,Ernavur anna nagar,13.0849557,80.2101342,13.0849555836434,80.21014749449846,"Anna Nagar, Chennai, Tamil Nadu, India",ChIJm3EiiAdkUjoR4oGVuHcQoL0,"Ernavur anna nagar, Ennore Bus Stand, Chennai"
Ennore Bus Stand,0,stop2,Lift Gate,13.1850045,80.3120735,13.184989547761706,80.31207003610656,"Lift Gate, Bharath Nagar, Neidhal Nagar, Tiruvottiyur, Chennai, Tamil Nadu 600057, India",ChIJjZ4Jxy9wUjoRfCXYh5a_v4E,"Lift Gate, Ennore Bus Stand, Chennai"
Ennore Bus Stand,0,stop3,ITC,13.2145944,80.3202929,13.214582250726563,80.3203122018703,"Ennore, Tamil Nadu 600057, India",ChIJS7gITkZwUjoRogavtRBd_sQ,"ITC, Ennore Bus Stand, Chennai"
Ennore Bus Stand,0,stop4,Wimco nagar,13.1802412,80.3057142,13.180276790387934,80.30557429452449,"Wimco Nagar, Ramanathapuram, Tiruvottiyur, Chennai, Tamil Nadu 600057, India",ChIJe2RFHyRwUjoRxUynaswyAoM,"Wimco nagar, Ennore Bus Stand, Chennai"
Ennore Bus Stand,0,stop5,Thiruvottiyur Market,13.1639178,80.3034824,13.163916177403902,80.30352857493824,"Thiruvottiyur Market, Thiruvottiyur High Rd, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",ChIJqf6Yv9xvUjoRTmLXIw_HuGs,"Thiruvottiyur Market, Ennore Bus Stand, Chennai"
Ennore Bus Stand,0,stop6,Theradi,13.2145944,80.3202929,13.214582250726563,80.3203122018703,"Ennore, Tamil Nadu 600057, India",ChIJS7gITkZwUjoRogavtRBd_sQ,"Theradi, Ennore Bus Stand, Chennai"
Ennore Bus Stand,0,stop7,Kaladipet market,13.2145944,80.3202929,13.214582250726563,80.3203122018703,"Ennore, Tamil Nadu 600057, India",ChIJS7gITkZwUjoRogavtRBd_sQ,"Kaladipet market, Ennore Bus Stand, Chennai"
Ennore Bus Stand,0,stop8,Raja Kadai,13.2160762,80.3194153,13.21607449181983,80.31942464186453,"6889+CQM, Sivan Padai St, Kathivakkam, Ennore, Chennai, Tamil Nadu 600057, India",ChIJsQ_vMR9xUjoRY_uY7KYxy-A,"Raja Kadai, Ennore Bus Stand, Chennai"
Ennore Bus Stand,0,stop9,Thangal,13.147959,80.298189,13.147940229783469,80.29823605199259,"Thangal, Thangal, Vasantha Nagar, Rajakadai, Tiruchanankuppam, Chennai, Tamil Nadu 600019, India",ChIJTcdDkJVvUjoR8rxBwBWw68I,"Thangal, Ennore Bus Stand, Chennai"
Ennore Bus Stand,0,stop10,Tollgate,13.14347,80.29639999999999,13.143470017270781,80.29639995631594,"Tollgate Metro, Thangal, Vasantha Nagar, Tondiarpet, Chennai, Tamil Nadu 600081, India",ChIJ377JV5ZvUjoRcoE4Loya--k,"Tollgate, Ennore Bus Stand, Chennai"
Tondiarpet (RTO Office),1,stop1,Tondiarpet Depot,13.1261062,80.2879959,13.12610148458203,80.28799454472447,"Tondiarpet, Chennai, Tamil Nadu, India",ChIJh9s_r5BvUjoRKw4H6KtqPiw,"Tondiarpet Depot, Tondiarpet (RTO Office), Chennai"
Tondiarpet (RTO Office),1,stop2,Kasimedu,13.1251136,80.2955419,13.125107315553846,80.29564962361539,"Kasimedu, Royapuram, Chennai, Tamil Nadu 600013, India",ChIJUzbskm1vUjoRIT4AE1ylr3M,"Kasimedu, Tondiarpet (RTO Office), Chennai"
Tondiarpet (RTO Office),1,stop3,Kasimedu Petrol Bunk,13.1251136,80.2955419,13.125107315553846,80.29564962361539,"Kasimedu, Royapuram, Chennai, Tamil Nadu 600013, India",ChIJUzbskm1vUjoRIT4AE1ylr3M,"Kasimedu Petrol Bunk, Tondiarpet (RTO Office), Chennai"
Tondiarpet (RTO Office),1,stop4,kalmandapam Police Station,13.1158257,80.29484529999999,13.115792362801521,80.29497297652364,"Kalmandapam, Royapuram, Chennai, Tamil Nadu 600013, India",ChIJEaXwkm1vUjoRFNa02rZNYZ8,"kalmandapam Police Station, Tondiarpet (RTO Office), Chennai"
Tondiarpet (RTO Office),1,stop5,ST Anne's School,13.1104695,80.29235190000001,13.1104325,80.29227089999999,"PUDUMANI KUPPAM MAIN BLOCK, ST. ANNE'S GIRLS HIGHER SECONDARY SCHOOL-PUDUMANI KUPPAM, Surya Narayana St, Pudumani Kuppam, Royapuram, Chennai, Tamil Nadu 600013, India",ChIJxUEgR2lvUjoRj5lY0IzrB-8,"ST Anne's School, Tondiarpet (RTO Office), Chennai"
Tondiarpet (RTO Office),1,stop6,Royapuram Bridge,13.1050173,80.28928789999999,13.104944864696504,80.28945021740519,"Royapuram Bridge, Anjaneya Nagar, Old Washermanpet, Chennai, Tamil Nadu 600013, India",ChIJSxjYfkJvUjoR9jrOTXutQnA,"Royapuram Bridge, Tondiarpet (RTO Office), Chennai"
Tondiarpet (RTO Office),1,stop7,Beach Station,13.091686,80.2920659,13.091847559170073,80.29156211767993,"37RR+MRG Beach station, Beach station, Chennai Port Trust, Chennai, Tamil Nadu 600001, India",ChIJJxDOH5ZvUjoRamynddE6Z4s,"Beach Station, Tondiarpet (RTO Office), Chennai"
Tondiarpet (RTO Office),1,stop8,Annamalai Mandram,13.0858633,80.28419439999999,13.086039378771334,80.28423418031213,"Rajah Annamalai Mandram, 5, Esplanade Rd, Esplanade, George Town, Chennai, Tamil Nadu 600104, India",ChIJJ6yqplNvUjoRx9ObD38WQDM,"Annamalai Mandram, Tondiarpet (RTO Office), Chennai"
Tondiarpet (RTO Office),1,stop9,GH (Rajiv Gandhi Hospital),13.0812224,80.2768198,13.08092132214472,80.27684429574596,"Poonamallee High Rd, Periamet, Park Town, Chennai, Tamil Nadu 600003, India",ChIJUXJbp6poUjoRb2mFfjs7zoQ,"GH (Rajiv Gandhi Hospital), Tondiarpet (RTO Office), Chennai"
Tondiarpet (RTO Office),1,stop10,Everest Hotel,13.0807579,80.26881689999999,13.080772322926439,80.26881625863466,"23, Poonamallee High Rd, opp. Sub Registrar Office, Periamet, Adikesavarpuram, Poongavanapuram, Chennai, Tamil Nadu 600003, India",ChIJu2YH1b5nUjoRMdcksyePpls,"Everest Hotel, Tondiarpet (RTO Office), Chennai"
Tondiarpet (RTO Office),1,stop11,Neyveli House,13.0776932,80.2466267,13.077706803612012,80.24660276792822,"154, Poonamallee High Rd, New Bupathy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",ChIJzcrE-nZmUjoRfwNNScZBjpg,"Neyveli House, Tondiarpet (RTO Office), Chennai"
Tondiarpet (RTO Office),1,stop12,KMC,13.1318065,80.29214879999999,13.131817239169854,80.29211679756811,"145/3, Balakrishna 1st St, Kasipuram, Tondiarpet, Chennai, Tamil Nadu 600081, India",ChIJC_ucOZxvUjoR9BnCaAd9BOM,"KMC, Tondiarpet (RTO Office), Chennai"
Tondiarpet,2,stop1,Tondiarpet Mani Cycle Shop,13.1251842,80.289183,13.12520769110104,80.28912344931781,"47GQ+3MF, Kesavan St, Sanjeevarayanpet, Tondiarpet, Chennai, Tamil Nadu 600081, India",ChIJ2wdoc3dvUjoRvqBlc6s-k1w,"Tondiarpet Mani Cycle Shop, Tondiarpet, Chennai"
Tondiarpet,2,stop2,Police Quarters,13.1389693,80.28836919999999,13.138953108863118,80.28836280623962,"47QQ+H8Q, Sivan Nagar, Police Colony, Tondiarpet, Chennai, Tamil Nadu 600081, India",ChIJi8kxFmVvUjoRiDLDAKYHYag,"Police Quarters, Tondiarpet, Chennai"
Tondiarpet,2,stop3,Post Office,13.1427586,80.2962417,13.142749992382967,80.29626274528958,"111, Tolgate, Srinivasa Nagar, Tondiarpet, Chennai, Tamil Nadu 600019, India",ChIJxdAIR75vUjoRmwfXbzaf5Fo,"Post Office, Tondiarpet, Chennai"
